,Question,Answer,File
0,“When was the Consumer Protection Act 2019 enacted? Is the Consumer Protection Act 1986 still valid?”,"“The Consumer Protection Act 2019 was notified on August 9, 2019. However, it came into effect on July 20, 2020. This Act replaced the Consumer Protection Act 1986 to address the contemporary issues faced by consumers and to streamline the consumer grievance redressal process in India. 

The Consumer Protection Act 1986 was the first significant legislation in India aimed at protecting consumer interests. It provided for the establishment of consumer councils and other authorities for the settlement of consumers' disputes and for matters connected therewith. It has now been repealed by the Consumer Protection Act 2019. Under Section 107(2) of the Consumer Protection Act 2019, all disputes arising out of the previous act shall now be governed by the new act.”

—",General
1,“What are the main features of the Consumer Protection Act 2019?”,"“The Consumer Protection Act 2019 retains several provisions from the older legislation but introduces numerous new measures to strengthen consumer rights and provide a comprehensive framework for consumer protection. Here are the main features of the Act:
Inclusion of E-commerce and Direct Selling Transactions: The Act now covers transactions conducted through e-commerce platforms and direct selling. This ensures that consumers engaging in online and direct sales are protected under the law.
Establishment of Central Consumer Protection Authority (CCPA): A key feature of the new Act is the establishment of the Central Consumer Protection Authority (CCPA). The CCPA has been empowered to regulate matters relating to the violation of consumer rights, unfair trade practices, and misleading advertisements. It can take suo-moto actions, recall products, and initiate class actions.
Strict Norms for Misleading Advertisements: The Act imposes strict regulations on misleading advertisements. It holds manufacturers, service providers, and endorsers accountable for false claims and deceptive marketing practices, thus protecting consumers from being misled.
Product Liability: The new Act introduces stringent norms for product liability, making manufacturers, sellers, and service providers responsible for any harm caused by defective products or deficient services. This ensures that consumers can seek compensation for any damage or injury.
Enhancement in Pecuniary Jurisdiction: The Act has increased the pecuniary jurisdiction of consumer courts. This means that the monetary limit for cases that can be handled by District Consumer Disputes Redressal Commission (DCDRC), State, and National Consumer Disputes Redressal Commission (NCDRC) has been raised, allowing more significant claims to be addressed at each level.
Greater Ease in Dispute Resolution: The Act aims to simplify and expedite the dispute resolution process. It promotes the resolution of consumer disputes through mediation, offering an alternative to the traditional court process. This makes it easier and faster for consumers to settle their grievances.
Addition of Unfair Trade Practice Clauses: The Act has expanded the definition of unfair trade practices to include unfair contracts. This ensures that any terms in a contract that are biased against the consumer or are excessively one-sided can be challenged and declared null and void.
E-filing of Complaints: Consumers can now file complaints electronically, making the process more accessible and convenient. This is particularly beneficial for those who may not be able to physically visit consumer courts.
Mediation as an Alternate Dispute Resolution: The introduction of mediation as an alternate dispute resolution mechanism provides a more amicable and less adversarial way of resolving consumer disputes. This helps in reducing the burden on consumer courts and provides quicker resolutions.”
—",General
2,“Who is a Consumer?”,"“Under the Consumer Protection Act 2019, a consumer is defined comprehensively to include individuals engaging in various types of transactions. Here's an expanded explanation:
Definition of a Consumer:
General Definition:
A person who buys any goods: This includes anyone who purchases goods for consideration (payment), whether the payment is made upfront, promised, partly paid, or deferred. The definition also extends to users who use the goods with the buyer's approval and beneficiaries of services.
Hires or avails any services: Similar to the purchase of goods, this includes individuals who hire or use services for consideration, whether the payment is made, promised, partly paid, or deferred.
Inclusion of Various Transaction Modes:
The Consumer Protection Act 2019 explicitly includes both offline and online transactions. This encompasses purchases made through electronic means such as websites and mobile apps, as well as teleshopping, direct selling, and multi-level marketing.
Personal Use Criterion:
To qualify as a consumer under the Act, the goods or services must be bought for personal use and not for commercial purposes like manufacturing or resale. This distinction ensures that the Act primarily protects individuals who are end-users of products and services, rather than businesses engaged in commercial activities.
Examples of a Consumer:
Individual Purchaser: Someone who buys a refrigerator for use in their home.
Service User: A person who subscribes to an internet service for personal use.
Online Shopper: An individual who purchases clothing from an e-commerce website.
Teleshopping Buyer: Someone who orders a fitness equipment via a teleshopping channel.
Direct Selling: A person who buys skincare products directly from a company representative.
Multi-Level Marketing: An individual purchasing wellness products through a multi-level marketing scheme for personal use.”
—",General
3,“Who is not a consumer?”,"“A consumer is defined as someone who buys goods or avails services for personal use and not for commercial purposes. However, certain categories of people are explicitly excluded from this definition. Here are the main exclusions:
A person who obtains goods free of charge: If an individual receives goods without any payment, they are not considered a consumer under the Act. This means they cannot seek remedies under consumer protection laws for issues related to those goods.
A person who avails services free of charge: If someone uses services without paying for them, they do not fall under the definition of a consumer. Consequently, they cannot file complaints or seek redressal for any grievances related to those services. However, if services are provided for free along with a product, you can argue that since you paid for the product, those services should be included in a product liability claim.
A person who avails services for any commercial purposes: Those who use services for commercial purposes, such as in their business operations, are also excluded from the definition of a consumer. The protection offered by the Act is intended for personal, not business, use.
A person who avails services under a contract of service: Individuals who receive services as part of a contract of service, such as employees receiving services from their employers, are not considered consumers. These situations are typically governed by employment laws rather than consumer protection laws.
Clarification on commercial purposes: It is important to note that the Act specifies an exception to the exclusion for commercial purposes. If a person buys and uses goods exclusively for the purpose of earning their livelihood through self-employment, they are still considered a consumer. This means that small business owners, artisans, or individuals using goods for personal business activities to sustain their livelihood are protected under the Act.”
—",General
4,“Are individuals who purchase goods and resell them classified as consumers?”,"“ Individuals or entities who purchase goods to resell them or use them for commercial purposes are not classified as consumers. Consumer specifically refers to end-users who purchase goods or services for personal consumption or use, not for commercial gain through resale or business operations.”

—",General
5,“What are goods?”,"“Goods refer to every kind of movable property. This definition encompasses all items that can be physically moved, regardless of their nature or purpose. Additionally, ""goods"" explicitly include ""food"" as defined in clause (j) of sub-section (1) of section 3 of the Food Safety and Standards Act, 2006. This means that all consumable items classified as food under this Act are also considered goods. However, immovable items such as property are not covered under goods”
_",General
6,"“What is deficiency under the Consumer Protection Act, 2019?”","“Deficiency"" under the Consumer Protection Act refers to any fault, imperfection, shortcoming, or inadequacy in the quality, nature, and manner of performance that a person is required to maintain by law or has undertaken to perform in relation to any service. This includes:
Negligence or Omission: Any act of negligence, omission, or commission by the service provider that causes loss or injury to the consumer.
Withholding Information: Deliberate withholding of relevant information by the service provider to the consumer.
Explanation: Whenever there is a deficiency in services, the customer is taken advantage of, leading to financial loss. Any form of negligence, omission, or wrongful act can result in harm to consumers.
Section 2(11) of the Consumer Protection Act, 2019: This section defines ""deficiency in service"" in a similar manner. It states that any fault, imperfection, shortcoming, or inadequacy in the quality, nature, and manner of performance that is required to be maintained by law or as per a contract is considered a deficiency. This includes any act of negligence, omission, commission, or deliberate withholding of relevant information by the service provider to the consumer.
Applicable Sectors: Deficiency of service can occur in any buyer-seller relationship and spans across various sectors including legal aid, banks, railways, construction, transportation, education, electricity, entertainment, restaurants, and hospitality.
In summary, a deficiency in service involves any failure to meet the required standards or contractual obligations, causing harm or loss to the consumer.”
—",General
7,“What is an unfair contract?”,"“An unfair contract refers to a contract between a manufacturer, trader, or service provider and a consumer that contains terms causing a significant change in the consumer's rights. These terms include:
a. Excessive Security Deposits: Requiring consumers to provide manifestly excessive security deposits for the performance of contractual obligations.
b. Disproportionate Penalties: Imposing penalties on consumers for breach of contract that are wholly disproportionate to the loss incurred by the other party.
c. Refusal of Early Repayment: Refusing to accept early repayment of debts even when the consumer is willing to pay the applicable penalty.
d. Unilateral Termination: Entitling one party to terminate the contract unilaterally without a reasonable cause.
e. Detrimental Assignment: Permitting one party to assign the contract to the detriment of the consumer without the consumer's consent.
f. Unreasonable Charges or Conditions: Imposing any unreasonable charge, obligation, or condition on the consumer that puts them at a disadvantage.
In summary, an unfair contract contains terms that significantly disadvantage the consumer, either through excessive demands, disproportionate penalties, or unbalanced rights and obligations.”
_",General
8,"“What are the unfair trade practices under the Consumer Protection Act, 2019?”","“The Consumer Protection Act, 2019, prohibits various unfair trade practices, including:
False or Misleading Advertisements: Advertising goods or services with false or misleading claims.
Selling Defective or Unfit Goods: Selling goods that are defective or unfit for their intended purpose.
Excessive Pricing: Charging excessively high prices for goods or services.
Refusal to Refund or Replace: Refusing to refund money or replace defective goods as per the terms of sale or service.
Coercion: Using coercion, undue influence, or pressure to compel consumers to purchase goods or services.
Unfair Contract Terms: Including unfair terms and conditions in contracts with consumers.
These practices are deemed unfair as they exploit consumers and violate their rights, as outlined in the Consumer Protection Act, 2019.”
—",General
9,“What is a misleading advertisement ?”,"“A misleading advertisement, concerning any product or service, is one that:
Falsely describes the product or service,
Provides false guarantees or is likely to mislead consumers regarding its nature, substance, quantity, or quality,
Conveys explicit or implicit representations that, if made by the manufacturer, seller, or service provider, would be considered unfair trade practices, or
Intentionally hides significant information.” 
—",General
